"","block","Chlamy","mic","temp","well.ID","r.exp"
"218",2,"y","2",30,"14.3.7",0.569719354534678
"219",2,"y","2",30,"19.6.8",1.89604960341662
"220",2,"y","2",30,"30.3.7",1.82514901580781
"221",1,"y","2",33,"1.4.5",2.04864152245182
"222",1,"n","2",33,"2.1.8",-0.02243771837557
"223",1,"y","2",33,"2.2.2",1.92653258600841
"224",1,"n","2",33,"2.2.4",-0.0167299446322138
"225",1,"n","2",33,"2.4.9",-0.133294314407291
"226",1,"y","2",33,"2.6.7",1.89079682777974
"227",2,"y","2",33,"1.4.4",2.04604826571951
"228",2,"n","2",33,"1.5.1",-0.0903200287391042
"229",2,"n","2",33,"1.5.5",-0.138828440104424
"230",2,"y","2",33,"1.6.6",1.98027469132767
"231",2,"n","2",33,"2.1.3",-0.125883602259292
"232",2,"y","2",33,"2.3.2",1.99460187024555
"233",1,"y","2",35,"1.1.1",0.480024779777916
"234",1,"n","2",35,"1.3.7",-0.0646377766490179
"235",1,"y","2",35,"1.6.5",1.97977441332413
"236",1,"y","2",35,"2.1.7",2.28446022212697
"237",1,"n","2",35,"2.2.10",-0.0532121252400127
"238",1,"n","2",35,"2.3.4",0.0389055822007853
"239",2,"n","2",35,"2.3.2",-0.057527990338342
"240",2,"n","2",35,"2.4.4",-0.119456326772079
"241",2,"y","2",35,"2.4.6",2.02957254281432
"242",2,"y","2",35,"2.5.4",2.28022313386338
"243",2,"y","2",35,"2.5.8",2.40383723573099
"244",2,"n","2",35,"2.6.3",-0.100419512720176
"245",1,"y","2",39,"1.1.7",1.9831470658653
"246",1,"y","2",39,"1.1.8",1.85081181462632
"247",1,"n","2",39,"1.2.4",-0.863152785270069
"248",1,"n","2",39,"1.4.7",-0.183060649619191
"249",1,"y","2",39,"2.2.1",0.358909227493489
"250",1,"n","2",39,"2.4.7",-0.174388177381278
"251",2,"y","2",39,"1.2.9",0.949823925876831
"252",2,"n","2",39,"1.3.8",-0.193527643429909
"253",2,"y","2",39,"2.2.5",1.17714755249971
"254",2,"n","2",39,"2.4.1",-0.144008329070709
"255",1,"n","2",43,"1.2.10",-0.137300251337633
"256",1,"y","2",43,"1.4.3",-0.326239614532268
"257",1,"n","2",43,"1.4.6",0.187767862539136
"258",1,"y","2",43,"2.1.6",-0.366417889226375
"259",1,"n","2",43,"2.4.8",-0.150063565984351
"260",1,"y","2",43,"2.6.8",-0.28448042109454
"261",2,"n","2",43,"1.1.5",-0.0616561333639583
"262",2,"y","2",43,"1.1.9",-0.164767453385291
"263",2,"n","2",43,"1.2.3",-0.153846196892688
"264",2,"n","2",43,"1.6.3",-0.128092502597161
"265",2,"y","2",43,"1.6.4",-0.164096698325186
"266",2,"y","2",43,"2.1.9",-0.21420157980023
"267",1,"y","3",8,"1.5.4",0.209417895702006
"268",1,"y","3",8,"1.5.9",0.0405433200212745
"269",1,"n","3",8,"1.6.4",-0.164303175940033
"270",1,"y","3",8,"2.1.5",0.0574248232811684
"271",1,"n","3",8,"2.1.9",-0.165575772842902
"272",1,"n","3",8,"2.2.7",-0.178597676205986
"273",2,"n","3",8,"1.1.3",-0.134662792329955
"274",2,"n","3",8,"1.2.5",-0.130209365858399
"275",2,"y","3",8,"1.4.3",0.251554422561919
"276",2,"y","3",8,"1.6.9",0.198635070499463
"277",2,"y","3",8,"2.4.7",0.0233289734409689
"278",2,"n","3",8,"2.5.6",-0.0857806644099462
"279",1,"n","3",14,"1.3.2",-0.136617057353487
"280",1,"y","3",14,"1.4.2",0.335909482449853
"281",1,"y","3",14,"1.5.3",0.736308559837696
"282",1,"y","3",14,"2.3.6",0.663332405064437
"283",1,"n","3",14,"2.4.8",-0.151094655751305
"284",1,"n","3",14,"2.5.9",-0.215526640586951
"285",2,"y","3",14,"1.2.5",0.373297322434567
"286",2,"n","3",14,"1.2.6",-0.0650823324949308
"287",2,"y","3",14,"1.5.5",0.136333205523683
"288",2,"n","3",14,"1.6.7",-0.104141126707704
"289",2,"n","3",14,"1.6.8",-0.160176128948257
"290",2,"y","3",14,"2.1.8",0.0441784848297274
"291",1,"n","3",20,"1.2.6",-0.136140453668174
"292",1,"n","3",20,"1.3.3",-0.0963219582246252
"293",1,"n","3",20,"1.3.8",-0.154199928729672
"294",1,"y","3",20,"2.1.10",0.353563603393918
"295",1,"y","3",20,"2.2.1",0.328084417044928
"296",1,"y","3",20,"2.2.10",0.46935137784623
"297",2,"y","3",20,"1.2.3",1.13161574656048
"298",2,"n","3",20,"1.5.2",-0.0779486910572263
"299",2,"n","3",20,"2.1.5",-0.0364609830321775
"300",2,"y","3",20,"2.2.9",0.0893809888683453
"301",2,"y","3",20,"2.6.5",1.14488372621038
"302",2,"n","3",20,"2.6.10",-0.0737911601195149
"303",1,"n","3",25,"1.1.6",-0.126377047061037
"304",1,"n","3",25,"1.3.3",-0.0556626237913914
"305",1,"y","3",25,"1.4.1",1.6026792084751
"306",1,"y","3",25,"2.3.2",1.22227494038062
"307",1,"y","3",25,"2.4.8",1.59530939137254
"308",1,"n","3",25,"2.5.7",-0.127326504138899
"309",2,"y","3",25,"1.3.5",0.872228864473093
"310",2,"y","3",25,"1.4.7",1.11549966839809
"311",2,"y","3",25,"1.5.10",1.09090982247621
"312",2,"n","3",25,"2.2.7",-0.120650569720211
"313",2,"n","3",25,"2.3.6",-0.129363287768895
"314",2,"n","3",25,"2.4.3",-0.0821739580403768
"315",1,"n","3",30,"14.1.1",0.0587260328090386
"316",1,"y","3",30,"15.2.4",1.51806651334736
"317",1,"y","3",30,"16.6.7",1.26352829533952
"318",1,"n","3",30,"17.4.9",-0.172809587787337
"319",1,"y","3",30,"22.2.8",1.70098973010721
"320",1,"n","3",30,"23.2.1",-0.278315286646706
"321",2,"n","3",30,"1.3.2",-0.138255112850949
"322",2,"y","3",30,"4.2.5",0.564777380305044
"323",2,"y","3",30,"6.6.1",2.02198242651287
"324",2,"n","3",30,"19.3.2",-0.0939433142852284
"325",2,"y","3",30,"24.3.2",0.510548729241585
"326",2,"n","3",30,"31.2.5",-0.110401543943478
"327",1,"n","3",33,"1.1.4",0.0860154601908902
"328",1,"n","3",33,"1.2.7",-0.0193312697845597
"329",1,"y","3",33,"1.2.9",1.87363089065785
"330",1,"y","3",33,"1.3.6",1.83084100245012
"331",1,"y","3",33,"2.3.5",1.8340019424998
"332",1,"n","3",33,"2.3.9",0.122051623488417
"333",2,"n","3",33,"1.4.7",-0.11517319359853
"334",2,"y","3",33,"1.6.10",2.07312148493986
