"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"116",1,"5",3,"b1.m5","deviance",9.58003593009079,1.00244190042938,1800
"117",1,"5",3,"b1.m5","r_max",1.63508388040316,1.00157467521678,3300
"118",1,"1",2,"b1.m1","K_s",31.7828829646154,1.00113533708634,5500
"119",1,"1",2,"b1.m1","deviance",20.0749638387089,1.0011996963608,5000
"120",1,"1",2,"b1.m1","r_max",1.34769622459728,1.00091063498696,6000
"121",1,"8",3,"b1.m8","K_s",34.7740569729931,1.001656556429,3000
"122",1,"8",3,"b1.m8","deviance",-0.637794009355075,1.00120276257922,5000
"123",1,"8",3,"b1.m8","r_max",1.62779239683935,1.00124258665515,4700
"124",1,"6",1,"b1.m6","K_s",29.0121213421846,1.00155771089184,3300
"125",1,"6",1,"b1.m6","deviance",9.37481633298372,1.00061402195073,6000
"126",1,"6",1,"b1.m6","r_max",1.39177777563422,1.00148654881897,3500
"127",3,"8",2,"b3.m8","K_s",54.4912267246656,1.00126963709316,4500
"128",3,"8",2,"b3.m8","deviance",-12.7387646193376,1.00121697280544,4900
"129",3,"8",2,"b3.m8","r_max",1.53328720774924,1.0016697342503,3000
"130",3,"6",2,"b3.m6","K_s",56.6529252678063,1.00071332104812,6000
"131",3,"6",2,"b3.m6","deviance",-17.0260406626322,1.00054988758273,6000
"132",3,"6",2,"b3.m6","r_max",1.4957718999893,1.00079680170219,6000
"133",3,"11",2,"b3.m11","K_s",55.2701591642922,1.00100015779134,6000
"134",3,"11",2,"b3.m11","deviance",15.9726923207271,1.00089603773771,6000
"135",3,"11",2,"b3.m11","r_max",1.52167890328489,1.0014259504804,3800
"136",3,"none",2,"b3.mnone","K_s",55.1881219479076,1.00148616872626,3500
"137",3,"none",2,"b3.mnone","deviance",-16.2587626990201,1.00113091969438,5500
"138",3,"none",2,"b3.mnone","r_max",1.52196010056355,1.00108211280495,6000
"139",3,"all",1,"b3.mall","K_s",54.943249034386,1.00124525817213,6000
"140",3,"all",1,"b3.mall","deviance",24.0239673406524,1.00168253976777,3000
"141",3,"all",1,"b3.mall","r_max",1.7229140673829,1.00064080599102,6000
"142",3,"2",3,"b3.m2","K_s",55.989985449075,1.0010402166723,6000
"143",3,"2",3,"b3.m2","deviance",-14.9609756276538,1.00087806387391,6000
"144",3,"2",3,"b3.m2","r_max",1.58810372634217,1.00100486210033,6000
"145",3,"9",2,"b3.m9","K_s",55.9671739438054,1.00117617099476,5200
"146",3,"9",2,"b3.m9","deviance",-14.9723956981702,1.00103990278276,6000
"147",3,"9",2,"b3.m9","r_max",1.53576868947371,1.00104686385381,6000
"148",3,"12",1,"b3.m12","K_s",55.5897468717474,1.00119154596534,5100
"149",3,"12",1,"b3.m12","deviance",-12.8390979583341,1.00108671256937,6000
"150",3,"12",1,"b3.m12","r_max",1.50987940794473,1.00108565642979,6000
"151",3,"5",1,"b3.m5","K_s",54.4896255279996,1.00086293793569,6000
"152",3,"5",1,"b3.m5","deviance",-5.25585398551564,1.00090769367895,6000
"153",3,"5",1,"b3.m5","r_max",1.50179385641922,1.00084483908224,6000
"154",3,"14",1,"b3.m14","K_s",54.2692486055409,1.00063042067272,6000
"155",3,"14",1,"b3.m14","deviance",-28.3577892031747,1.0007221000699,6000
"156",3,"14",1,"b3.m14","r_max",1.56629341702397,1.0008369907264,6000
"157",3,"15",1,"b3.m15","K_s",53.4156369865012,1.00087949480788,6000
"158",3,"15",1,"b3.m15","deviance",-9.93617962499111,1.00066224008898,6000
"159",3,"15",1,"b3.m15","r_max",1.37581272769805,1.00065366484093,6000
"160",3,"7",2,"b3.m7","K_s",55.2784220576946,1.00083830982944,6000
"161",3,"7",2,"b3.m7","deviance",-5.46262248195491,1.0005327525919,6000
