"","block","Chlamy","mic","nit","well.ID","r.exp"
"385",1,"y","3",5,"1.4.2",0.428927453282838
"386",1,"y","3",5,"2.4.9",0.782910011530089
"387",1,"y","3",5,"4.3.6",0.429185665316109
"388",1,"n","3",5,"12.3.2",-0.159668880006865
"389",1,"n","3",5,"20.1.9",-0.217209888138382
"390",1,"n","3",5,"20.4.7",-0.170186216827312
"391",2,"y","3",5,"8.6.7",0.762385312087302
"392",2,"n","3",5,"18.4.10",-0.102893246062242
"393",2,"n","3",5,"21.2.7",-0.155239619531477
"394",2,"n","3",5,"29.3.7",-0.133088598053181
"395",2,"y","3",5,"30.6.10",-0.160334326284341
"396",2,"y","3",5,"32.6.8",-0.0495462085944432
"397",1,"y","3",400,"3.1.6",1.82361010404567
"398",1,"n","3",400,"14.6.8",-0.257129330256312
"399",1,"n","3",400,"28.4.9",-0.170724604715539
"400",1,"y","3",400,"29.1.3",1.3452307407966
"401",1,"n","3",400,"29.2.7",-0.135063288824839
"402",1,"y","3",400,"32.6.2",1.34729147464035
"403",2,"n","3",400,"4.2.4",-0.0565512338210537
"404",2,"y","3",400,"5.1.1",1.9178561895846
"405",2,"n","3",400,"8.4.4",-0.10076822972808
"406",2,"y","3",400,"18.2.8",1.50437686595105
"407",2,"n","3",400,"25.2.5",-0.107379880360407
"408",2,"y","3",400,"27.3.8",0.539516903234644
"409",1,"y","3",700,"8.1.4",1.53892772312063
"410",1,"n","3",700,"13.1.10",-0.0103493782736445
"411",1,"y","3",700,"15.3.2",0.543830569667879
"412",1,"n","3",700,"27.5.10",-0.172380492312665
"413",1,"y","3",700,"27.6.4",1.45534969112303
"414",1,"n","3",700,"28.5.8",-0.10207682575401
"415",2,"y","3",700,"3.2.7",0.686166828072991
"416",2,"n","3",700,"5.6.6",-0.0593409737787382
"417",2,"n","3",700,"11.6.10",-0.0809738716963547
"418",2,"y","3",700,"12.5.6",1.46437348924043
"419",2,"n","3",700,"16.6.10",-0.114640097149279
"420",2,"y","3",700,"19.2.6",1.7390395541859
"421",1,"y","4",1,"2.1.10",-0.245451310414476
"422",1,"n","4",1,"6.4.6",-0.181083324842261
"423",1,"y","4",1,"8.2.8",0.115157254791124
"424",1,"y","4",1,"21.1.9",-0.183840526012358
"425",1,"n","4",1,"24.3.8",0.0337460115700517
"426",1,"n","4",1,"30.3.10",-0.116294154003317
"427",2,"y","4",1,"1.2.2",-0.13483799068526
"428",2,"n","4",1,"5.3.7",-0.132786738377533
"429",2,"n","4",1,"7.5.6",-0.122015209591041
"430",2,"y","4",1,"9.2.1",-0.251199186249134
"431",2,"n","4",1,"12.3.10",-0.0622521852965243
"432",2,"y","4",1,"23.2.1",-0.00526734330868734
"433",1,"y","4",50,"1.1.4",0.857941913338532
"434",1,"y","4",50,"10.3.6",0.766012878963195
"435",1,"n","4",50,"14.4.1",-0.142390220527101
"436",1,"n","4",50,"16.6.6",-0.116470106932308
"437",1,"y","4",50,"21.5.2",1.18638427269957
"438",1,"n","4",50,"29.1.5",-0.100268465523252
"439",2,"y","4",50,"3.4.6",1.31552063718119
"440",2,"n","4",50,"9.5.6",-0.133511302072849
"441",2,"n","4",50,"14.4.10",-0.0386355833311606
"442",2,"n","4",50,"15.1.10",-0.0956604067955617
"443",2,"y","4",50,"20.1.1",1.19241270309335
"444",2,"y","4",50,"24.2.6",1.21797795371021
"445",1,"y","4",0,"5.5.5",-0.203930060946153
"446",1,"n","4",0,"15.4.8",-0.144887239685933
"447",1,"y","4",0,"25.5.2",0.164930561557513
"448",1,"n","4",0,"29.5.10",-0.101480277830703
"449",1,"n","4",0,"32.2.6",-0.112090053774604
"450",1,"y","4",0,"32.5.10",-0.042696179022859
"451",2,"y","4",0,"4.3.6",-0.100556707797373
"452",2,"n","4",0,"4.5.7",-0.114789301482606
"453",2,"y","4",0,"9.2.6",-0.21524753128506
"454",2,"n","4",0,"16.5.10",-0.0798884869984082
"455",2,"n","4",0,"20.4.2",-0.168983716986778
"456",2,"y","4",0,"26.3.6",-0.276886985798314
"457",1,"y","4",25,"20.2.2",0.454067671483621
"458",1,"n","4",25,"25.1.1",-0.161372926883176
"459",1,"n","4",25,"25.6.2",-0.190786183327942
"460",1,"n","4",25,"28.6.1",-0.157256642904092
"461",1,"y","4",25,"29.4.7",0.49671734894031
"462",1,"y","4",25,"29.6.5",0.513562834619692
"463",2,"y","4",25,"2.1.2",1.1181244063553
"464",2,"y","4",25,"8.6.3",0.779995486293659
"465",2,"n","4",25,"11.2.6",-0.116111744891418
"466",2,"n","4",25,"13.5.10",-0.146670266900605
"467",2,"n","4",25,"20.4.6",-0.188763441402193
"468",2,"y","4",25,"28.1.8",0.77790260784341
"469",1,"y","4",10,"6.3.8",0.516552036919303
"470",1,"n","4",10,"6.5.7",-0.12827126649007
"471",1,"n","4",10,"12.6.5",-0.182694276211483
"472",1,"y","4",10,"18.3.10",0.762636038744864
"473",1,"y","4",10,"21.3.1",0.31030653935396
"474",1,"n","4",10,"21.4.10",-0.240390149077507
"475",2,"y","4",10,"1.6.5",-0.117377912637799
"476",2,"n","4",10,"1.6.10",-0.083297905986843
"477",2,"y","4",10,"16.6.3",-0.154062409851279
"478",2,"n","4",10,"21.5.5",-0.0987941281907614
"479",2,"y","4",10,"28.3.10",-0.172503966434182
"480",2,"n","4",10,"32.2.3",-0.118300188855319
"481",1,"n","4",1000,"1.5.8",-0.101834849780414
"482",1,"n","4",1000,"8.6.9",-0.145384297723225
"483",1,"y","4",1000,"12.5.3",1.26952215152124
"484",1,"n","4",1000,"19.4.1",-0.162024852823875
"485",1,"y","4",1000,"25.2.5",1.40714228451941
"486",1,"y","4",1000,"31.6.4",0.684580635457474
"487",2,"n","4",1000,"7.6.9",2.13144067570988
"488",2,"n","4",1000,"13.4.5",-0.136201214102084
