"","block","Chlamy","mic","salt","well.ID","r.exp"
"260",2,"n","2",12,"5.4.5",-0.0412395198255971
"261",2,"n","2",12,"8.1.4",-0.124745793832535
"262",2,"y","2",12,"11.3.3",-0.121886530792389
"263",2,"y","2",12,"29.2.7",-0.10500410543095
"264",1,"y","2",10.67,"7.2.9",-0.136261050945104
"265",1,"y","2",10.67,"9.6.5",0.243645242068107
"266",1,"n","2",10.67,"11.5.9",-0.139481604848864
"267",1,"n","2",10.67,"16.6.2",-0.209761602768074
"268",1,"y","2",10.67,"26.6.4",-0.154709477138938
"269",1,"n","2",10.67,"28.5.10",-0.0911974269247657
"270",2,"y","2",10.67,"5.3.4",-0.118627453571581
"271",2,"y","2",10.67,"8.5.2",0.0476952204640175
"272",2,"n","2",10.67,"16.1.8",-0.0909694433505934
"273",2,"y","2",10.67,"22.1.1",-0.0886551510282626
"274",2,"n","2",10.67,"24.1.10",-0.0814896489787647
"275",2,"n","2",10.67,"28.1.3",-0.112146585626948
"276",1,"n","2",6.67,"4.5.6",-0.152260288234082
"277",1,"y","2",6.67,"8.3.5",0.446342894336827
"278",1,"y","2",6.67,"15.4.6",0.239068705438231
"279",1,"n","2",6.67,"18.1.2",-0.279463141555051
"280",1,"n","2",6.67,"22.2.4",-0.237210419368116
"281",1,"y","2",6.67,"31.4.6",0.111613615745958
"282",2,"y","2",6.67,"4.3.9",0.220023853245279
"283",2,"n","2",6.67,"7.2.10",-0.110834270781144
"284",2,"n","2",6.67,"15.5.4",-0.056889327982535
"285",2,"y","2",6.67,"17.4.5",0.186087343190489
"286",2,"y","2",6.67,"17.5.7",0.323286767202073
"287",2,"n","2",6.67,"30.4.7",-0.173364447091973
"288",1,"y","2",5.33,"15.3.8",0.361909578947366
"289",1,"n","2",5.33,"19.1.10",-0.231512965272707
"290",1,"n","2",5.33,"23.1.4",-0.2394647972969
"291",1,"y","2",5.33,"23.4.8",0.297957882152207
"292",1,"y","2",5.33,"26.1.5",0.320664017187434
"293",1,"n","2",5.33,"26.6.6",-0.145987461291816
"294",2,"y","2",5.33,"2.6.8",0.472609144086712
"295",2,"n","2",5.33,"12.1.7",-0.134837338561219
"296",2,"n","2",5.33,"25.1.6",-0.162162633010032
"297",2,"n","2",5.33,"25.5.4",-0.167140613316126
"298",2,"y","2",5.33,"28.4.10",0.304149048555207
"299",2,"y","2",5.33,"29.5.8",0.142152164533392
"300",1,"n","3",9.33,"6.1.10",-0.185046536999613
"301",1,"n","3",9.33,"6.3.6",-0.138247467441204
"302",1,"y","3",9.33,"6.3.9",-0.0858712961222698
"303",1,"n","3",9.33,"12.6.2",-0.259580977542254
"304",1,"y","3",9.33,"22.6.4",-0.122800653120464
"305",1,"y","3",9.33,"28.6.5",0.0205160653760448
"306",2,"y","3",9.33,"2.3.2",0.119884695571015
"307",2,"n","3",9.33,"9.3.2",-0.0680872673694244
"308",2,"n","3",9.33,"16.5.4",-0.088555135205413
"309",2,"y","3",9.33,"18.5.9",-0.114002716037898
"310",2,"y","3",9.33,"22.6.3",0.167479698695694
"311",2,"n","3",9.33,"25.4.2",-0.118941433050785
"312",1,"y","3",1.33,"5.1.8",1.47140622917956
"313",1,"n","3",1.33,"10.2.2",-0.038349526788174
"314",1,"n","3",1.33,"16.1.8",1.62074567636359
"315",1,"y","3",1.33,"17.2.4",0.455155022341397
"316",1,"n","3",1.33,"29.6.10",-0.152016205071254
"317",1,"y","3",1.33,"31.5.3",0.46536405870447
"318",2,"n","3",1.33,"11.2.9",-0.0849791371004128
"319",2,"y","3",1.33,"11.3.5",1.33943022346195
"320",2,"y","3",1.33,"14.5.8",1.33790606359941
"321",2,"n","3",1.33,"19.3.8",-0.087053350316686
"322",2,"n","3",1.33,"21.3.6",-0.0870562083385451
"323",2,"y","3",1.33,"28.2.9",1.30107867784947
"324",1,"n","3",2.67,"2.5.4",-0.135960814756893
"325",1,"y","3",2.67,"4.2.5",0.321384680754461
"326",1,"n","3",2.67,"20.6.1",-0.14934005085869
"327",1,"y","3",2.67,"22.3.5",0.547032979674928
"328",1,"n","3",2.67,"29.2.2",-0.170959728852322
"329",1,"y","3",2.67,"32.4.2",0.455828320217914
"330",2,"n","3",2.67,"3.6.4",-0.115412176201217
"331",2,"n","3",2.67,"17.6.3",-0.12796496888782
"332",2,"n","3",2.67,"20.2.1",-0.149436736525147
"333",2,"y","3",2.67,"21.5.3",0.674747769933871
"334",2,"y","3",2.67,"30.1.8",0.784879094917647
"335",2,"y","3",2.67,"32.3.6",0.706958296788583
"336",1,"n","3",8,"7.6.4",-0.126554969564944
"337",1,"n","3",8,"12.2.9",-0.0751512756501077
"338",1,"y","3",8,"14.5.9",-0.129667766294893
"339",1,"n","3",8,"17.1.6",-0.175028982619305
"340",1,"y","3",8,"17.3.7",0.158099486758858
"341",1,"y","3",8,"17.4.8",0.165298568020814
"342",2,"n","3",8,"1.6.9",0.199800334675164
"343",2,"n","3",8,"9.6.10",-0.11535886501584
"344",2,"y","3",8,"12.2.3",0.147903911027123
"345",2,"y","3",8,"14.5.1",0.141923322528712
"346",2,"n","3",8,"19.6.7",-0.0819091367590113
"347",2,"y","3",8,"30.5.4",-0.115494756390729
"348",1,"n","3",0,"14.1.1",0.0587260326752163
"349",1,"y","3",0,"15.2.4",1.51806651365417
"350",1,"y","3",0,"16.6.7",1.26352830752711
"351",1,"n","3",0,"17.4.9",-0.172809587972989
"352",1,"y","3",0,"22.2.8",1.70098972924365
"353",1,"n","3",0,"23.2.1",-0.278315283054493
"354",2,"n","3",0,"1.3.2",-0.138255111993657
"355",2,"y","3",0,"4.2.5",0.564777381667419
"356",2,"y","3",0,"6.6.1",2.02198242619098
"357",2,"n","3",0,"19.3.2",-0.0939433141806954
"358",2,"y","3",0,"24.3.2",0.510548726717515
"359",2,"n","3",0,"31.2.5",-0.110401543911114
"360",1,"n","3",4,"5.1.1",-0.149069180216275
"361",1,"y","3",4,"5.5.9",0.39059916061333
"362",1,"y","3",4,"11.6.3",0.173876863667666
"363",1,"n","3",4,"18.1.1",-0.279043660536843
"364",1,"n","3",4,"20.2.4",-0.18772999875327
"365",1,"y","3",4,"24.1.1",0.299417877420707
"366",2,"y","3",4,"3.4.3",0.526734028243606
"367",2,"y","3",4,"4.6.7",0.297281913139612
"368",2,"n","3",4,"15.2.6",-0.113592387300273
"369",2,"n","3",4,"23.1.8",-0.137516257875524
"370",2,"n","3",4,"27.1.2",-0.210434706789408
"371",2,"y","3",4,"28.6.8",0.239821292326405
"372",1,"n","3",12,"8.1.5",-0.0884004555297109
"373",1,"y","3",12,"11.6.4",0.160010457562611
"374",1,"y","3",12,"13.1.2",-0.218094792719444
"375",1,"y","3",12,"20.1.3",-0.1696725883265
"376",1,"n","3",12,"20.5.9",-0.198481099853447
"377",1,"n","3",12,"28.6.2",-0.163986987667533
"378",2,"n","3",12,"15.2.1",-0.129040417785717
"379",2,"n","3",12,"15.2.3",-0.151938971086994
"380",2,"n","3",12,"19.4.5",-0.124013114907167
"381",2,"y","3",12,"25.4.6",-0.150591639205168
"382",2,"y","3",12,"26.5.7",-0.129191986305489
"383",2,"y","3",12,"27.6.2",-0.170721235356714
"384",1,"n","3",10.67,"5.6.2",-0.0551435093700385
"385",1,"n","3",10.67,"6.4.2",-0.175234563729265
"386",1,"y","3",10.67,"7.3.2",-0.151794189932296
"387",1,"y","3",10.67,"16.2.4",1.37587041426595
"388",1,"y","3",10.67,"18.5.10",-0.125176477193216
"389",1,"n","3",10.67,"26.5.9",-0.159743985153198
"390",2,"y","3",10.67,"6.5.9",-0.132663601442846
"391",2,"n","3",10.67,"11.3.8",0.0995326965969991
"392",2,"y","3",10.67,"14.4.5",-0.109297479262717
"393",2,"n","3",10.67,"22.2.2",-0.0978402743853092
"394",2,"n","3",10.67,"26.4.5",-0.0931792619492392
"395",2,"y","3",10.67,"26.6.1",-0.130584124712595
"396",1,"y","3",6.67,"9.4.8",0.150706395842287
"397",1,"n","3",6.67,"9.5.6",-0.0791086909487865
"398",1,"y","3",6.67,"11.4.3",0.249104210555129
"399",1,"n","3",6.67,"12.2.8",-0.0751493945495449
"400",1,"y","3",6.67,"18.3.4",0.17934226452817
