"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"38",1,"all",3,"b1.mall.r3",63.4141045553687,72.4467637499769,32.4401168372121,136.846343620172,0,1.74711861385735,1.72014775184266,1.44407458731499,2.09148933961147,0,34.557799142784,20.3067971939873,56.4116537146566,0
"39",1,"1",3,"b1.m1.r3",25.9922876985685,29.1158876021769,13.8068707670752,48.5962480851453,0,1.44540740286837,1.40633051457829,1.20789507223207,1.5994700409069,0,19.1834989516877,10.6417052314343,29.5687105433427,0
"40",1,"13",1,"b1.m13.r1",64.6567946773555,69.8377296190009,16.5809817162769,155.535173117318,0,1.65430764930596,1.65839536084101,1.31677067116951,2.12573626151731,0,35.4131955271704,14.5030920330808,70.1823667761352,0
"41",1,"14",1,"b1.m14.r1",15.9870317498792,16.0156811822157,8.51103966310411,25.5938109672073,0,1.51031293803263,1.51630192179892,1.35198489510464,1.68747052569303,0,9.35986893681319,5.53583713319046,13.9097570636064,0
"42",1,"6",3,"b1.m6.r3",20.1192943741395,21.9440877346401,1.8480500845685,49.2657488257632,0,1.47650618805089,1.44419382257538,1.15666333272244,1.87832781658304,0,13.8027443028323,3.92309231647019,28.2746117441463,0
"43",1,"7",2,"b1.m7.r2",18.3747236529494,18.0343881848099,0.485722915844306,82.2995055750693,0,1.40650173520181,1.40644544739649,0.93759952057631,1.91895480527513,0,12.0919212955841,1.25011911304397,44.7524675699503,0
"44",1,"none",1,"b1.mnone.r1",39.9535287466957,42.3752081711218,22.7859440916457,64.7140246112409,0,1.48539574080368,1.46919565916256,1.31385379789726,1.65371998535369,0,26.1047727033297,15.978963513774,35.8909676220229,0
"45",1,"5",2,"b1.m5.r2",44.1133740079791,43.0484409012197,15.3539039501243,92.0493849121177,0,1.65982294803772,1.68611963651287,1.35461639870069,1.99102862840496,0,21.7564108241063,10.0491361413694,41.2331427804474,0
"46",1,"4",1,"b1.m4.r1",18.4940371665956,19.1273365294118,12.5017956614042,26.3614440287359,0,1.40068838039681,1.38650769577405,1.27311498036607,1.5301865499738,0,12.8689579508455,8.96783645001617,16.7253368822324,0
"47",1,"8",1,"b1.m8.r1",32.9872558478815,29.387659393085,14.5952857514726,47.7606563677684,0,1.62690620126988,1.66604666545932,1.48922067001229,1.89309585541458,0,15.0098828219772,8.78726100041897,22.5070874481135,0
"48",1,"9",1,"b1.m9.r1",26.6127452610579,28.6221417120744,6.55815942392507,74.8549457671824,0,1.35029649851583,1.35471741165458,1.02785020910328,1.61616843230542,0,20.5125040486268,5.32546229897003,44.149508353317,0
"49",1,"6",2,"b1.m6.r2",40.7734812034335,39.1330551506055,8.34315804409664,99.2804778514144,0,1.38404563901578,1.41470289612901,1.06009096094421,1.77696890815915,0,26.2297607337145,7.76515867301648,53.5444502812301,0
"50",1,"4",2,"b1.m4.r2",6.6347165944058,6.48722190308732,0.689211230176757,20.2847607969654,0,0.80611526185665,0.808340950655607,0.626106415083475,1.01898432300571,0,15.4873572509829,2.53927241622927,47.8934612480667,0
"51",1,"11",3,"b1.m11.r3",24.2156469240071,25.5296331299532,3.24538787497119,67.2985226573437,0,1.30215961163958,1.30765703505989,0.957240840912649,1.66666095229879,0,19.1393167623699,5.2962918969374,43.2768926858049,0
"52",2,"15",1,"b2.m15.r1",23.8913930857176,24.6609609051327,11.7766975960444,43.6014975371124,0,1.75353098439712,1.73105362787087,1.47764541590088,1.94121309924296,0,11.8759077551111,6.95838964609705,19.5507606079499,0
"53",2,"11",3,"b2.m11.r3",54.4908616947167,60.4481303087532,28.1469368752685,99.0824485324779,0,1.92012009078337,1.89806416503801,1.63236920944033,2.18292710508994,0,25.1925153552714,15.5769871969268,38.2242494547478,0
"54",2,"4",1,"b2.m4.r1",34.8152969562012,41.3162331873905,11.4553968981685,95.1537413025315,0,1.85347667218087,1.77401467043519,1.40878128407537,2.20388793665235,0,18.8085249095187,8.12283745035514,37.1885716121991,0
"55",2,"2",3,"b2.m2.r3",34.3311779449068,37.949022377462,16.3930240928845,79.3826743654422,0,2.13232336158335,2.09517910123019,1.72442205809977,2.47066193216321,0,13.9354992088388,7.11539205814362,25.5531248187712,0
