"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ"
"295","b1.t30.p5.w241",30,1000,4,1,"3",5,241,"2",0.177067601020123
"296","b1.t30.p5.w242",30,50,0,1,"14",5,242,"2",0.0515868071886303
"297","b1.t30.p5.w244",30,5,0,1,"9",5,244,"1",0.0290113617898291
"298","b1.t30.p5.w251",30,1000,9.33,1,"all",5,251,"3",0.0473860752379054
"299","b1.t30.p5.w255",30,50,0,1,"7",5,255,"1",0.00402097016464379
"300","b1.t30.p5.w258",30,1000,6.67,1,"8",5,258,"1",-0.00799943531036436
"301","b1.t30.p5.w259",30,5,0,1,"15",5,259,"3",0.0227892594509696
"302","b1.t30.p5.w260",30,1000,2.67,1,"8",5,260,"2",0.0992238682071032
"303","b1.t30.p5.w262",30,1000,9.33,1,"12",5,262,"3",0.158687145082368
"304","b1.t30.p5.w263",30,1000,6.67,1,"9",5,263,"1",0.00147660017353287
"305","b1.t30.p5.w264",30,1000,4,1,"15",5,264,"3",0.0761400353005305
"306","b1.t30.p5.w266",30,50,0,1,"12",5,266,"2",0.0932699767196594
"307","b1.t30.p5.w267",30,1000,8,1,"15",5,267,"3",0.123953434567118
"308","b1.t30.p5.w273",30,1000,2.67,1,"all",5,273,"2",0.0408244480821356
"309","b1.t30.p5.w274",30,1000,5.33,1,"10",5,274,"1",0.0471431420248266
"310","b1.t30.p5.w277",30,10,0,1,"9",5,277,"2",0.0649197938612761
"311","b1.t30.p5.w278",30,1000,8,1,"11",5,278,"1",0.0235504060136703
"312","b1.t30.p5.w279",30,1000,9.33,1,"1",5,279,"1",-0.000619378959906279
"313","b1.t30.p5.w280",30,10,0,1,"15",5,280,"2",0.0646479895273284
"314","b1.t30.p5.w284",30,1000,1.33,1,"2",5,284,"1",0.0338833940935826
"315","b1.t30.p5.w286",30,1000,9.33,1,"2",5,286,"2",0.0220273673009951
"316","b1.t30.p5.w287",30,1000,10.67,1,"1",5,287,"2",0.0202952589424065
"317","b1.t30.p5.w288",30,25,0,1,"all",5,288,"1",0.110932503977299
"318","b1.t30.p5.w292",30,1000,10.67,1,"3",5,292,"3",0.000670469334208371
"319","b1.t30.p5.w293",30,25,0,1,"8",5,293,"1",0.00315032816218169
"320","b1.t30.p5.w296",30,1000,2.67,1,"6",5,296,"3",0.00366442885017894
"321","b1.t30.p5.w298",30,1000,9.33,1,"15",5,298,"1",0.0313736501192692
"322","b1.t30.p5.w299",30,400,0,1,"14",5,299,"2",0.030149597024045
"323","b1.t30.p5.w300",30,10,0,1,"10",5,300,"2",-0.00766440713578704
"324","b1.t30.p6.w302",30,1000,1.33,1,"1",6,302,"1",0.0045470441427485
